Telefone,Cidade,Bairro,Nome,Website,E-mail,E-mail2
+55 19 98801-2720,Campinas,Barão Geraldo,Barbearia Oficina do corte - Barão Geraldo,https://instagram.com/oficina_do_cortebarao_geraldo?igshid=MzRlODBiNWFlZA==,,
+55 19 99691-6677,Campinas,Barão Geraldo,KZ BARBEARIA,https://www.instagram.com/kzbarbearia/,,
+55 19 98838-5775,Campinas,Barão Geraldo,Barbearia Dom Navalhete,,,
+55 19 98157-9455,Campinas,Barão Geraldo,Barbearia J7,,,
+55 19 98112-3253,Campinas,Barão Geraldo,Salão Santo Antônio,,,
+55 19 2121-8545,Campinas,Barão Geraldo,Rubens Barbearia,,,
+55 19 99696-5740,Campinas,Jardim Chapadão,Barbearia Vk,,,
+55 19 97402-7232,Campinas,Jardim Chapadão,2E BARBER SHOP | BARBEARIA,http://www.instagram.com/2ebarbershop,,
+55 19 98128-7544,Campinas,Jardim Chapadão,Barbearia Robson Profissional desde 1993,,,
+55 19 99586-0920,Campinas,Jardim Chapadão,Avelino Barberclube,https://www.instagram.com/avelinobarberclub/,,
+55 19 98732-9153,Campinas,Jardim Chapadão,Barbearia Lord da Navalha,https://www.facebook.com/barbearialorddanavalha/,,
+55 19 3243-9173,Campinas,Jardim Chapadão,Barbearia Barba Real,,,
+55 19 98313-0849,Campinas,Jardim Chapadão,Luiz Barbearia Chapadão,,,
+55 19 98180-8975,Campinas,Jardim Chapadão,O Barba Barbearia,,,
+55 19 3396-6194,Campinas,Jardim Chapadão,Brooklyn Barber Shop | Barbearia em Campinas,https://instagram.com/brooklynbarbershop/,,
+55 19 98144-4418,Campinas,Jardim Chapadão,Barbearia Toca do Grillo,,,
+55 19 99399-2277,Campinas,Jardim Chapadão,Alencar Barber Shop (Unidade 02),https://wa.me/5519993992277?text=Ol%C3%A1+gostaria+de+agendar+um+hor%C3%A1rio.+#google,,
+55 19 98974-5418,Campinas,Jardim Chapadão,.91 Barbearia,,,
+55 19 98986-4812,Campinas,Jardim Chapadão,Barbearia Gomes Barbearia em Campinas,,,
+55 41 3319-9032,Curitiba,Batel,Viking BarberShop batel,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.instagram.com/barbearia_vikingbatel/&ved=2ahUKEwiTl4mtzKP5AhV_uZUCHQqrBjoQFnoECBQQAQ&usg=AOvVaw2O-dEz5Awh31XofKSOIoWQ,,
+55 41 3023-8928,Curitiba,Batel,Skull Mates Barbearia,https://www.instagram.com/skullmatesbarbearia/,,
+55 41 98514-8563,Curitiba,Batel,Wanderley barbeiro... barbeiro_wanderley,,,
+55 41 99866-9546,Curitiba,Batel,Barber Club - Barbearia,,,
+55 41 99213-5154,Curitiba,Batel,Barbeira e Esteticista Masculina Rosangela Tracz,,,
+55 41 99217-1940,Curitiba,Batel,Der Bart Barbearia,,,
+55 41 3083-7373,Curitiba,Batel,Urban Barber Shop,,,
+55 41 99793-8929,Curitiba,Batel,BARBEARIA LENON BARBEIRO NO TORRITON,,,
+55 41 99944-2215,Curitiba,Bigorrilho,Barbearia do Zé,,,
+55 41 3206-4143,Curitiba,Bigorrilho,Barbearia Señor Eli,https://www.instagram.com/barbearia.senor.eli,,
+55 41 3015-0873,Curitiba,Bigorrilho,Barbearia Ferrari,,,
+55 41 3319-9032,Curitiba,Bigorrilho,Viking BarberShop batel,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.instagram.com/barbearia_vikingbatel/&ved=2ahUKEwiTl4mtzKP5AhV_uZUCHQqrBjoQFnoECBQQAQ&usg=AOvVaw2O-dEz5Awh31XofKSOIoWQ,,
+55 41 3205-1325,Curitiba,Bigorrilho,Barbearia - Rubel Barber Suite,https://www.instagram.com/rubelbarbersuite,,
+55 41 99866-9546,Curitiba,Bigorrilho,Barber Club - Barbearia,,,
+55 41 99243-3194,Curitiba,Bigorrilho,Brilliantine Barbearia,https://instagram.com/brilliantine.barbearia?igshid=NzZlODBkYWE4Ng==,,
+55 41 99696-7230,Curitiba,Bigorrilho,Barbearia Chaves,https://www.instagram.com/barbeariachaves1988/,,
+55 41 98537-7838,Curitiba,Bigorrilho,Cabeleireiro Marlon Max,https://www.instagram.com/barbearia.ehbi/,,
+55 41 99766-4165,Curitiba,Bigorrilho,Barbearia Ateliê da Barba,,,
+55 41 3029-7541,Curitiba,Centro Cívico,Barbearia 1,,,
+55 41 3501-0365,Curitiba,Centro Cívico,Don Barbearia,http://www.facebook.com/donbarbearia,,
+55 41 3598-9540,Curitiba,Centro Cívico,Barbers In Barbearia,https://bit.ly/BarbersInBarbearia,,
+55 41 99559-4751,Curitiba,Centro Cívico,Barbearia Beto Barber,,,
+55 41 3078-1527,Curitiba,Centro Cívico,Barbearia República,http://www.facebook.com/barbeariarepublicacwb,,
+55 41 3253-7174,Curitiba,Juvevê,Barbearia Lumberjacks Juvevê,,,
+55 41 99797-5454,Curitiba,Juvevê,Marumbi Barbearia,https://www.instagram.com/barbeariamarumbi/,,
+55 41 99820-2645,Curitiba,Juvevê,Barber Shop Curitiba,https://www.facebook.com/barbershopcuritiba,,
+55 41 99877-6345,Curitiba,Juvevê,Barbiere Club,,,
+55 41 3252-0165,Curitiba,Juvevê,Grafitti Hair,,,
+55 41 99237-1997,Curitiba,Juvevê,Barbearia Kalyl,https://www.instagram.com/barbeariakalyl,,
+55 41 98485-8165,Curitiba,Juvevê,Barbearia Lumberjacks Moysés Marcondes,,,
+55 41 99822-9426,Curitiba,Juvevê,Debarba Barbearia,,,
+55 41 3252-4765,Curitiba,Juvevê,Iaba-Daba-Doo,,,
+55 41 3077-0522,Curitiba,Alto da XV,Barbearia Barbs,,,
+55 41 3501-6146,Curitiba,Alto da XV,Scarfades Barbershop,http://facebook.com/scarfadesbarbershopcwb,,
+55 41 99739-2472,Curitiba,Alto da XV,Romeu Barbershop,http://www.instagram.com/romeubarbershop,,
+55 41 3434-4080,Curitiba,Alto da XV,Barbearia Mr. Migs,https://instagram.com/mrmigsbarber,,
+55 41 99118-7130,Curitiba,Alto da XV,Khayus Barbershop,,,
+55 41 99865-8412,Curitiba,Alto da XV,Barbearia Camões,https://www.instagram.com/barbeariacamoes?igsh=MW1rZWJwOGM1cmVrYg==,,
+55 41 3045-4734,Curitiba,Alto da XV,Nixon's barbearia,https://www.instagram.com/kendricklamar/,,
+55 41 99820-2645,Curitiba,Alto da XV,Barber Shop Curitiba,https://www.facebook.com/barbershopcuritiba,,
+55 43 3323-7841,Londrina,Centro,Barbearia Prado,https://l.instagram.com/?u=https%3A%2F%2Flinktr.ee%2Fbarbeariaprado%3Futm_source%3Dlinktree_profile_share%26ltsid%3Daf7265c6-53aa-4b78-8104-0426ed7ed581&e=AT3dUjRIyFGto-kYseLvkfjQTVTyxRRba-pSqho8OZoMDWdKpEmdAwNtDNk6-W3SC8oswi83GQpxpsJcmq65T5g_YKMeahqj-cvFEjz9BaOHLrU2wEb25Q,,
+55 43 99122-8737,Londrina,Centro,Barbearia Senador,,,
+55 43 99172-5982,Londrina,Centro,JL Barbearia,,,
+55 43 3324-6226,Londrina,Centro,Barbearia Don Sebastião,,,
+55 43 99143-5765,Londrina,Centro,BARBEARIA ZERO 13,https://www.instagram.com/zero_13_barbearia/,,
+55 43 3361-0400,Londrina,Centro,Barbearia Alameda,https://www.facebook.com/alamedabarbearialondrina/,,
+55 43 99666-3535,Londrina,Centro,King Barbearia em Londrina,https://www.instagram.com/kingbarbeariia/,,
+55 43 99618-0663,Londrina,Gleba Palhano,Barbearia Lincoln Gonçalves,https://www.facebook.com/lincolngoncalvesbarbearia/?pnref=lhc,,
+55 43 99644-1953,Londrina,Gleba Palhano,LOGAN BARBEARIA,https://www.facebook.com/loganbarbearialondrina/,,
+55 43 3067-1610,Londrina,Jardim Igapó,Barbearia Custom,,,
+55 43 99633-8358,Londrina,Jardim Igapó,Barbearia João Querubim,https://www.instagram.com/joaoquerubimbarbearia/,,
+55 43 3028-6853,Londrina,Jardim Igapó,BARBEARIA KINOSHITA,https://www.facebook.com/KinoshitaBarbearia/,,
+55 43 98456-5540,Londrina,Jardim Igapó,Sergio C. Barbearia,https://www.facebook.com/SergioC.Barbearia,,
+55 43 99699-2252,Londrina,Jardim Igapó,Macena Barber Shop,,,
+55 43 99644-1953,Londrina,Jardim Igapó,LOGAN BARBEARIA,https://www.facebook.com/loganbarbearialondrina/,,
+55 43 99916-1444,Londrina,Jardim Igapó,Gusmão Barbearia,https://api.whatsapp.com/send?phone=5543999161444,,
+55 43 98436-2330,Londrina,Jardim Igapó,Barbearia Borges,,,
+55 43 98498-0708,Londrina,Jardim Igapó,BARBEARIA DON MORASK,,,
+55 43 99618-0663,Londrina,Jardim Bancários,Barbearia Lincoln Gonçalves,https://www.facebook.com/lincolngoncalvesbarbearia/?pnref=lhc,,
+55 43 99954-7851,Londrina,Jardim Bancários,MARIO - O seu Barbeiro,http://www.instagram.com/mariooseubarbeiro,,
+55 43 99666-3535,Londrina,Jardim Bancários,King Barbearia em Londrina,https://www.instagram.com/kingbarbeariia/,,
+55 43 3338-0627,Londrina,Jardim Bancários,BARBEARIA GOBATO,,,
+55 43 99644-1953,Londrina,Jardim Bancários,LOGAN BARBEARIA,https://www.facebook.com/loganbarbearialondrina/,,
+55 43 99647-7767,Londrina,Jardim Bancários,Hiltel Barbearia,http://instagram.com/hiltelbarbearia,,
+55 43 3367-6158,Londrina,Jardim Bancários,Barbearia e Centro de Formação Flávio Dias,,,
+55 43 99966-2376,Londrina,Jardim Bancários,Fato 03 Barbearia,,,
+55 43 3027-4263,Londrina,Jardim Bancários,Barbearia 7deoutubro,,,
+55 43 3324-6226,Londrina,Jardim Bancários,Barbearia Don Sebastião,,,
+55 43 98805-1559,Londrina,Jardim Bancários,Françoa Barbearia,https://instagram.com/francoabarbearia,,
+55 43 3338-0627,Londrina,Bandeirantes,BARBEARIA GOBATO,,,
+55 43 99845-0017,Londrina,Bandeirantes,BARBEARIA DOM PEDRO ||,,,
+55 43 3348-2042,Londrina,Bandeirantes,Jessé & Carlos Barbearia,https://bit.ly/WhatsAppJesseCarlos,,
+55 43 98439-3969,Londrina,Bandeirantes,Stilus Barbearia,,,
undefined,Londrina,Bandeirantes,Fabiano e Filhos Barbearia,,,
+55 43 99136-8446,Londrina,Bandeirantes,L2 Barbearia unidade Bandeirantes,https://wa.me/5543991368446?text=ol%C3%A1%20quero%20fazer%20um%20agendamento,,
+55 43 98443-1049,Londrina,Bandeirantes,Barbearia Sibim,,,
+55 43 98432-8997,Londrina,Bandeirantes,Barbearia Ricko,https://www.instagram.com/ricko.barbearia,,
+55 43 98429-8317,Londrina,Bandeirantes,Marcelino's barber,,,
+55 43 98405-1549,Londrina,Bandeirantes,Doutor Barbaa Barbearia,,,
+55 48 99166-9310,Londrina,Bandeirantes,THE CUT HOMMAO'S - BARBEARIA,,,
+55 43 98403-7286,Londrina,Bandeirantes,barbearia e Cabeleireiros WR,https://instagram.com/wr_cabeleireiros_?igshid=MzRlODBiNWFlZA==,,
+55 43 99995-6375,Londrina,Bandeirantes,Don clebinho barbearia,,,
+55 43 3028-6294,Londrina,Bandeirantes,Gearhead barbershop,https://www.instagram.com/gearhead.barbershop/,,
+55 43 99834-5521,Londrina,Bandeirantes,ROCHA BARBEARIA,,,
+55 48 3365-2897,Florianópolis,Centro,Barbearia VIP - Centro,http://wa.me/554833652897,,
+55 48 3204-9146,Florianópolis,Centro,Barbearia Alves de Brito - Florianópolis - centro,,,
+55 48 99933-6001,Florianópolis,Centro,RMbarbearia,,,
+55 48 99622-9116,Florianópolis,Centro,Barbearia Executive Floripa,,,
+55 48 3304-2565,Florianópolis,Centro,Barbearia Major Costa,,,
undefined,Florianópolis,Centro,Barbearia centro floripa,,,
+55 48 99615-5745,Florianópolis,Centro,Vinte Cinco Barber Shop,https://www.facebook.com/25barbershop?mibextid=LQQJ4d,,
+55 48 99967-7721,Florianópolis,Centro,Barbearia Rudnei Vargas,,,
+55 48 98425-1499,Florianópolis,Centro,Barbearia Guimarães,http://facebook.com/barbeariaguimaraesoficial,,
+55 48 99946-1922,Florianópolis,Lagoa da Conceição,Barbeiro Luckas Kaihã,,,
+55 48 99671-5906,Florianópolis,Lagoa da Conceição,Barbearia Th Cortes,https://instagram.com/barbeariathcortes?utm_medium=copy_link,,
+55 48 99154-1826,Florianópolis,Lagoa da Conceição,Barbearia Sparthacuss,,,
undefined,Florianópolis,Lagoa da Conceição,Cauê Barber,,,
+55 48 3232-1001,Florianópolis,Lagoa da Conceição,Barbearia Lagoa da Conceição,,,
+55 48 99939-3669,Florianópolis,Lagoa da Conceição,Barbearia Keller,,,
+55 48 99995-1639,Florianópolis,Lagoa da Conceição,Nostra Familia Barbearia,,,
+55 48 99961-7172,Florianópolis,Lagoa da Conceição,Glênio Cabeleireiros,,,
+55 48 99150-0387,Florianópolis,Lagoa da Conceição,Escultores,,,
+55 48 99858-2647,Florianópolis,Lagoa da Conceição,Barbearia Rudi barber,,,
+55 48 99604-5702,Florianópolis,Lagoa da Conceição,Nova Barbearia,,,
+55 48 98456-8286,Florianópolis,Campeche,Barbearia R10 - Campeche/SC,,,
+55 48 99127-6674,Florianópolis,Campeche,CAMPECHE BARBERSHOP,,,
+55 48 3028-4980,Florianópolis,Campeche,Barão da Navalha - Campeche,https://www.instagram.com/baraodanavalha.campeche?igsh=dHNwbzkzZGhlNnU0,,
+55 48 98869-2286,Florianópolis,Campeche,Evolution Barbearia Campeche,https://instagram.com/evolutionbarbearia_?igshid=ZmRlMzRkMDU=,,
+55 48 99191-1937,Florianópolis,Campeche,Barbearia | Modellare Barbershop | Campeche,https://www.instagram.com/modellarebarbershop/,,
+55 48 99135-3680,Florianópolis,Campeche,Caveira’s Barbearia,https://instagram.com/caveirasbarbeariaoficial?utm_source=ig_profile_share&igshid=16fgp7r5xk6yo,,
+55 48 98463-2242,Florianópolis,Campeche,Barbearia Stylo,,,
+55 48 99659-8300,Florianópolis,Campeche,Barbearia Sul Vaper,,,
+55 48 98866-3111,Florianópolis,Campeche,Estúdio Gramal Barbearia,,,
+55 48 98869-2286,Florianópolis,Campeche,Evolution Barbearia Rio Tavares,https://instagram.com/evolutionbarbearia_?igshid=ZmRlMzRkMDU=,,
+55 48 99148-5983,Florianópolis,Campeche,Barbearia bibi,,,
+55 48 98489-3242,Florianópolis,Campeche,Barbearia Juninho Barber Sul,,,
+55 48 98500-5435,Florianópolis,Campeche,DUDU’S STUDIO DE BELEZA,,,
+55 48 99206-5052,Florianópolis,Campeche,Left Barbearia,https://www.instagram.com/left_barbearia/,,
+55 48 98812-8622,Florianópolis,Campeche,Barbearia HBS,https://www.instagram.com/barbeariahbs?igsh=aXJldGs1ZHJueHg5&utm_source=qr,,
+55 48 99121-7466,Florianópolis,Campeche,Barbearia Felippe Caetano,,,
+55 48 99600-1292,Florianópolis,Jurerê Internacional,Barbearia Pai e Filho - Jurerê Internacional,https://www.instagram.com/barbeariafilhoepai/,,
+55 48 98868-8649,Florianópolis,Jurerê Internacional,Malbec Barbearia Jurerê Internacional,,,
+55 48 3307-4599,Florianópolis,Jurerê Internacional,Barbearia Seu João Jurerê Visagismo Masculino,https://www.instagram.com/barbeariaseujoaojurere/,,
+55 48 99160-6224,Florianópolis,Jurerê Internacional,Barbearia LD,,,
+55 48 99147-7820,Florianópolis,Jurerê Internacional,Barbearia Central,,,
+55 48 99246-7002,Florianópolis,Jurerê Internacional,Hawk Barber Studio,,,
+55 48 99661-3693,Florianópolis,Jurerê Internacional,Barbearia Zebra’s,,,
+55 48 99986-3180,Florianópolis,Ingleses do Rio Vermelho,Barbearia Capitão Navalha | Referência nos Ingleses,https://instagram.com/barbeariacapitaonavalha?igshid=NTlmMWMyMzg=,,
+55 48 3030-4532,Florianópolis,Ingleses do Rio Vermelho,Bravo Barbearia,https://www.instagram.com/bravobarbearia/,,
+55 48 99816-9988,Florianópolis,Ingleses do Rio Vermelho,Stilo Barbearia,,,
+55 48 99840-0476,Florianópolis,Ingleses do Rio Vermelho,Armazem da Barba,,,
+55 48 99195-9512,Florianópolis,Ingleses do Rio Vermelho,Keef barbearia (keefbarbershop),,,
+55 48 98876-8874,Florianópolis,Ingleses do Rio Vermelho,️ Na Brasa Barbearia Shop,,,
+55 48 98832-9971,Florianópolis,Ingleses do Rio Vermelho,Wiu barbearia,,,
+55 48 3307-8184,Florianópolis,Ingleses do Rio Vermelho,Barbearia Vegas Barber Club,,,
undefined,Florianópolis,Ingleses do Rio Vermelho,Barbearia Luquinha,,,
+55 48 99954-0682,Florianópolis,Ingleses do Rio Vermelho,Barbearia Joso,,,
+55 48 99634-7168,Florianópolis,Ingleses do Rio Vermelho,Barbearia Catarinense,https://www.instagram.com/barbearia_catarinense/,,
+55 48 99203-1594,Florianópolis,Ingleses do Rio Vermelho,Barbearia BarberSurf Tattoo,,,
+55 48 98870-8072,Florianópolis,Ingleses do Rio Vermelho,Satribal Barbearia,,,
+55 51 99623-7805,Florianópolis,Ingleses do Rio Vermelho,Dudu Barbearia,,,
+55 62 3100-6133,Goiânia,Setor Bueno,Barbearia Vargas - Bueno,https://www.instagram.com/barbeariavargasofficial/,,
+55 62 98120-2126,Goiânia,Setor Bueno,Bourbon Barbearia & Salon,,,
+55 12 99658-6907,Goiânia,Setor Bueno,BARBEARIA DO MEU AMIGO - Bueno,,,
+55 62 99231-8060,Goiânia,Setor Bueno,Barbearia DOMUS,https://www.instagram.com/sigadomusbarbearia,,
+55 62 4102-4694,Goiânia,Setor Bueno,235 Barbearia,https://www.instagram.com/235.barbearia/,,
+55 62 98132-1552,Goiânia,Setor Bueno,Bazatto Barbershop - Unidade Setor Bueno [Barbearia],http://api.whatsapp.com/send?phone=5562981321552,,
+55 62 99459-6666,Goiânia,Setor Bueno,SEGNO BARBEARIA E CLÍNICA,,,
undefined,Goiânia,Setor Bueno,Barbearia Monarka,,,
+55 62 98267-2526,Goiânia,Setor Bueno,Jhoy Barber,https://instagram.com/jhoy_barber?utm_medium=copy_link,,
+55 62 99317-8477,Goiânia,Setor Bueno,Seu Carlos Barbearia,,,
+55 62 98166-8464,Goiânia,Setor Bueno,Barbearia Lavor,https://www.instagram.com/barbearia_lavor?igsh=aG5keGh1bTV5Mmtn,,
+55 62 98179-8164,Goiânia,Setor Bueno,Barbearia Izaías Santos Setor Bueno,,,
+55 62 99815-7639,Goiânia,Setor Bueno,Athos Barbearia - Unidade 1,https://www.instagram.com/athosbarbearia/,,
+55 62 98293-4041,Goiânia,Setor Bueno,Barbearia Nocaute,,,
+55 62 99174-2773,Goiânia,Setor Bueno,Barbearia Macaco Veio,,,
undefined,Goiânia,Setor Bueno,Seu Barbeiro,,,
+55 62 98326-5565,Goiânia,Setor Bueno,Barbearia Studio T-13,,,
+55 62 3609-7354,Goiânia,Jardim América,Los Hermanos Barbearia,https://instagram.com/loshermanos__barbearia?igshid=YmMyMTA2M2Y=,,
+55 62 3622-6282,Goiânia,Jardim América,Barbearia hora,https://api.whatsapp.com/send?phone=556236226282,,
undefined,Goiânia,Jardim América,Cleusmar Barbearia,,,
+55 62 98197-5560,Goiânia,Jardim América,Barbearia Dom Samurai,http://instagram.com/barbeariadomsamurai,,
+55 62 98644-6184,Goiânia,Jardim América,Barbearia Machado,,,
+55 62 99806-7721,Goiânia,Jardim América,Lottus Barbearia Clube,,,
+55 62 98253-3923,Goiânia,Jardim América,London Barber Club - Barbearia | Jardim América,,,
+55 62 99198-9970,Goiânia,Jardim América,Barbearia Shallom,https://bit.ly/AgendaBarbeariashallom,,
+55 62 4102-4694,Goiânia,Jardim América,235 Barbearia,https://www.instagram.com/235.barbearia/,,
+55 62 98219-5660,Goiânia,Jardim América,Street Way Barbearia,https://www.instagram.com/streetwaybarber,,
+55 62 99634-3710,Goiânia,Jardim América,Benícios Barbearia,,,
undefined,Goiânia,Jardim América,Pacheco Barbearia,,,
+55 62 99245-5683,Goiânia,Jardim América,Visual Cabeleireiros e Barbearia | Jardim América - Goiânia GO,,,
+55 62 98147-0813,Goiânia,Jardim América,Salão Master - Barbearia,https://wa.me/5562981470813?text=Ol%C3%A1+%21+eu+vim+do+Google+Maps,,
+55 62 3215-0751,Goiânia,Setor Oeste,Barbearia Tamandaré | @barbeariatamandare,https://instagram.com/barbeariatamandare?igshid=YzgyMTM2MGM=,,
+55 62 99350-9904,Goiânia,Setor Oeste,New Star Barbearia,,,
+55 62 99201-4477,Goiânia,Setor Oeste,Barbearia king GO,https://instagram.com/barbeariaking_go?igshid=YmMyMTA2M2Y=,,
+55 62 99350-9904,Goiânia,Setor Oeste,Macho Alpha Barbearia Unidade Tamandaré,,,
+55 62 99314-9155,Goiânia,Setor Oeste,Barbearia Colombo,,,
+55 62 99473-2777,Goiânia,Setor Oeste,Hugo Barbearia,,,
+55 62 98256-6426,Goiânia,Setor Oeste,Barbearia do Bira,,,
+55 62 99404-0294,Goiânia,Setor Oeste,Barbearia Studio Hugo Victor,,,
+55 62 98400-7787,Goiânia,Setor Marista,Joe's Barbearia,https://www.instagram.com/joesbarbearia/,,
+55 62 3251-9151,Goiânia,Setor Marista,"Barbearia MadeMan - Barbeiro, Barbearia, Corte Masculino, Barbaterapia, Barbearia Goiania",https://instagram.com/barbeariamademan,,
+55 62 99981-7445,Goiânia,Setor Marista,For Men Su Beauty Barbearia - Marista,"https://api.whatsapp.com/send?phone=5562999817445&text=Ol%C3%A1,%20eu%20gostaria%20de%20agendar%20uma%20visita!&fbclid=PAAabXJR_vSr3kUMG0EawcUMGOaJHk6zKw002UMCBRebuwFekskV12_zvwNDg_aem_AUSCxLpofCs6JcGoqvd6Xek7B4P0ChZsGAKAQQP4Uj7khJRtKFtWAQAqOJ1Yp5b-f0s",,
+55 62 99660-0168,Goiânia,Setor Marista,Elemental Barbearia,https://www.instagram.com/elementalbarbearia/,,
+55 62 98524-8585,Goiânia,Setor Marista,Barbearia Barbaridade Premium,https://instagram.com/barbaridade.premium?igshid=ZDdkNTZiNTM=,,
+55 62 98270-5130,Goiânia,Setor Marista,BARBEARIA IVAN,,,
+55 62 99313-7026,Goiânia,Setor Marista,Pedro Cabral Barbeiro,,,
+55 62 3215-0751,Goiânia,Setor Marista,Barbearia Tamandaré | @barbeariatamandare,https://instagram.com/barbeariatamandare?igshid=YzgyMTM2MGM=,,
+55 62 99161-1414,Goiânia,Centro,Barbearia Seu Pedro,http://www.instagram.com/seupedrobarbeariagyn,,
+55 62 99396-5278,Goiânia,Centro,"Xavier Barbearia - Barbearia, Barbearia em Goiânia, Barbearia no Centro, Barbershop, Manicure, Unha em Gel",https://www.instagram.com/xavierbarbeariadpx,,
+55 62 99918-8683,Goiânia,Centro,Barbearia Lounge - Barbearia Goiânia,http://www.instagram.com/lounge.barbearia.oficial,,
+55 62 3211-7187,Goiânia,Centro,Barbearia Vargas - Marechal Rondon,,,
+55 62 99806-7721,Goiânia,Centro,Lottus Barbearia Clube,,,
+55 51 98212-4737,Porto Alegre,Centro Histórico,Salazar Barber Shop,https://www.facebook.com/salazarbarbershoprs/,,
+55 51 3212-6014,Porto Alegre,Centro Histórico,Soares Barbershop,,,
+55 51 99872-7851,Porto Alegre,Centro Histórico,Barbearia Strong,,,
+55 51 99936-7235,Porto Alegre,Centro Histórico,Barbershopcapitolio,https://www.instagram.com/p/ChkOSWduxC3/?igshid=YmMyMTA2M2Y=,,
+55 51 98540-7760,Porto Alegre,Centro Histórico,Barbearia do Kunha,,,
+55 51 99130-0027,Porto Alegre,Centro Histórico,Barbeiros D' Respeito,,,
+55 51 99516-7067,Porto Alegre,Centro Histórico,Tio San Barbeiro,,,
+55 51 99019-9187,Porto Alegre,Centro Histórico,Premier Barber Club,https://www.instagram.com/premierbarberclub?igsh=c2toYnRkeWNqZGtx,,
+55 51 98455-4046,Porto Alegre,Centro Histórico,Barbearia Souza,,,
+55 51 98517-1688,Porto Alegre,Centro Histórico,Machado'S barbearia,https://instagram.com/machados.barber?igshid=NGVhN2U2NjQ0Yg==,,
+55 51 3273-3251,Porto Alegre,Centro Histórico,Cabelo Curto - Centro Histórico,,,
+55 51 3224-9938,Porto Alegre,Centro Histórico,Salão Fígaro,,,
+55 51 99431-4671,Porto Alegre,Moinhos de Vento,Barbers Barbearia,,,
+55 51 99583-7323,Porto Alegre,Moinhos de Vento,Bruno Mattos Barbeiro,http://www.facebook.com/BrunoMattosBarbeiro,,
+55 51 99952-2521,Porto Alegre,Moinhos de Vento,Moinhos barber,,,
+55 51 98544-2873,Porto Alegre,Moinhos de Vento,Barbearia Corrêa,https://www.facebook.com/671barbeiro/,,
+55 51 98180-3936,Porto Alegre,Moinhos de Vento,Keylor Vasques,,,
+55 51 98298-8712,Porto Alegre,Moinhos de Vento,4 DISTRITO BARBERCLUB,https://instagram.com/4distritobarberclub,,
+55 51 99912-7787,Porto Alegre,Moinhos de Vento,Studio John Barbearia,https://www.instagram.com/studiojohn_floresta?igsh=azVoenp0cTY0NjV5,,
+55 51 3237-0077,Porto Alegre,Bela Vista,The Bronx - Barbearia Porto Alegre,https://www.instagram.com/thebronxbarbershop545?igsh=cGtydmwzdXh0YWRn,,
+55 51 3334-5091,Porto Alegre,Bela Vista,Barbearia Monte Carlo,,,
+55 51 99485-4001,Porto Alegre,Bela Vista,Ibiza Barber Shop,https://www.instagram.com/ibizabarbershop_?igsh=MW81MWQ2a2t4NW1uZQ==,,
+55 51 99703-0569,Porto Alegre,Bela Vista,Pompilio Barbearia,,,
+55 51 3336-7768,Porto Alegre,Bela Vista,POA Barber Shop,,,
+55 51 99999-8803,Porto Alegre,Bela Vista,Barbearia O Seu Barbeiro,https://wa.me/message/HJXSZVCPF77OP1,,
+55 51 4066-3949,Porto Alegre,Petrópolis,Shaver Society Barber Shop,https://www.facebook.com/Shaver-society-105637483302157/,,
+55 51 99328-6002,Porto Alegre,Petrópolis,Sarart Barbearia Petrópolis,https://www.instagram.com/barbeariasarart?igsh=cjk5Y3o4OWdsbjIz,,
+55 51 98105-8898,Porto Alegre,Petrópolis,Nona Arte Barber Shop,,,
+55 51 3334-5091,Porto Alegre,Petrópolis,Barbearia Monte Carlo,,,
+55 51 99776-3205,Porto Alegre,Petrópolis,O Barber | Barbearia Protásio,https://wa.me/message/2OHNQ5HDM5JUJ1,,
+55 51 98436-2187,Porto Alegre,Petrópolis,Cioccari Barbearia,https://www.facebook.com/cioccaribarbearia/,,
+55 51 98609-2604,Porto Alegre,Petrópolis,Conceito A Barber House,,,
+55 51 99485-4001,Porto Alegre,Petrópolis,Ibiza Barber Shop,https://www.instagram.com/ibizabarbershop_?igsh=MW81MWQ2a2t4NW1uZQ==,,
+55 51 98016-8927,Porto Alegre,Petrópolis,Catena BARBERSHOP,,,
undefined,Porto Alegre,Petrópolis,Barbearia Sports Barber,,,
+55 51 98043-2981,Porto Alegre,Rio Branco,Barbearia Goethe - El Cartel Fernandes | Unidade Goethe - Porto Alegre,https://www.instagram.com/elcartelfernandes?igsh=OWNnOTN4MXpydGE0,,
+55 51 99787-5518,Porto Alegre,Rio Branco,Bacchica Barbearia,,,
+55 51 98580-2149,Porto Alegre,Rio Branco,LOGRADOURO BARBERSHOP,,,
+55 51 99703-0569,Porto Alegre,Rio Branco,Pompilio Barbearia,,,
+55 51 3332-8873,Porto Alegre,Rio Branco,Salão Silva,,,
+55 47 99641-5631,blumenau,Centro,Barbearia da XV,https://instagram.com/barbeariadaxvbnu?igshid=MzRlODBiNWFlZA==,,
+55 47 3035-5093,blumenau,Centro,VIP,,,
+55 47 3042-1717,blumenau,Centro,Lombardis,,,
+55 47 99178-9057,blumenau,Centro,Freak,,,
+55 47 98403-7207,blumenau,Centro,Tião o Barbeiro,,,
+55 47 99665-4199,blumenau,Centro,Barbearia Real,http://www.instagram.com/realbarbeariareal,,
